id,phrase,name
125,"Alexa, start five minute plank",5-Minute Plank Workout
126,"Alexa, open five minute plank",5-Minute Plank Workout
127,"Alexa, ask five minute plank to start",5-Minute Plank Workout
128,"Alexa, tell My Million I have done one thousand metres",My Million
129,"Alexa, ask My Million how i am doing this month",My Million
130,"Alexa, ask My Million am I on track",My Million
131,"Alexa, ask Daily Reflections to give me today's reading.",Daily Reflections
132,"Alexa, ask Daily Reflections for the reading from January 1st.",Daily Reflections
133,"Alexa, ask daily Reflections to read a random reading.",Daily Reflections
134,Alexa ask LifeWorks who's on the leaderboard,LifeWorks
135,Alexa ask LifeWorks what my wallet balance is,LifeWorks
136,Alexa ask LifeWorks how much recognition I've received this month,LifeWorks
137,Alexa ask fitness tips to give me a tip,Fitness Tips
138,Give me a tip on exercising.,Fitness Tips
139,Give me a tip on eating.,Fitness Tips
140,"Alexa, ask train me for an exercise",Train me
141,"Alexa, ask train me for another one",Train me
142,"Alex, open train me",Train me
143,"Alexa, open Air Quality",UK Air Quality
144,Alexa ask Air Quality what it's like in Manchester today,UK Air Quality
145,Alexa ask Air Quality what the air quality index scale is,UK Air Quality
146,Alexa open virtual nurse,Virtual Nurse
147,Check my Hay Fever symptoms,Virtual Nurse
148,Tell me about Sepsis,Virtual Nurse
149,"Alexa, ask chest day, is it chest day?",Chest Day
150,What day is it?,Chest Day
151,"Alexa, ask Plume for the current air quality.",Plume Labs
152,"Alexa, ask Plume how is the air in San Francisco now?",Plume Labs
153,"Alexa, ask Plume to give the ozone level right now in Houston.",Plume Labs
154,"Alexa, ask diet check is Banana a low fodmap food",Fodmap Diet
155,"Alexa, ask diet check to check sweet potato",Fodmap Diet
156,"Alexa, ask Fitbit how I'm doing today.",Fitbit
157,"Alexa, ask Fitbit how I slept last night.",Fitbit
158,"Alexa, ask Fitbit how many steps I've taken.",Fitbit
159,"Alexa, open scottishskier",Scottish Skier
160,"Alexa, ask scottish skier to suggest a question",Scottish Skier
161,"Alexa, ask scottish skier which lifts are open at Cairngorm",Scottish Skier
162,"Alexa, ask My Buddy to help me get started",Ask My Buddy
163,"Alexa, ask My Buddy to alert James",Ask My Buddy
164,"Alexa, ask My Buddy to alert Everyone",Ask My Buddy
165,"Alexa, ask Portsmouth C T C",Portsmouth CTC Events
166,"Alexa, ask Portsmouth C T C get events",Portsmouth CTC Events
167,"Alexa, ask Portsmouth C T C whats on Wednesday",Portsmouth CTC Events
168,"Alexa, ask hypno therapist to play a session",hypno therapist
169,list sessions,hypno therapist
170,select session one,hypno therapist
171,"Alexa, ask Baby Mate to record a bottle of 100 millilitres",BabyMate
172,"Alexa, ask Baby Mate how much bottle today",BabyMate
173,"Alexa, ask Baby Mate to record a medium diaper",BabyMate
174,"Alexa, ask Fitness Logger to add ten pull downs with twenty pounds",FitnessLogger
175,"Alexa, ask Fitness Logger what's my best for push ups",FitnessLogger
176,"Alexa, ask Fitness Logger to get my bench presses on yesterday",FitnessLogger
177,"Alexa, ask Workout Buddy for a workout",Workout Buddy
178,"Alexa, ask Workout Buddy for an exercise",Workout Buddy
179,"Alexa, ask Workout Buddy for another one",Workout Buddy
180,"Alexa, ask Yoga Trainer for the next pose",yoga trainer
181,"Alexa, ask Yoga Trainer to start a new session",yoga trainer
182,"Alexa, ask Yoga Trainer for a teacher near 94143",yoga trainer
183,"Alexa, open Period Tracker",Period Tracker
184,"Alexa, tell Period Tracker I got my period today",Period Tracker
185,"Alexa, ask Period Tracker when does my fertile window start",Period Tracker
186,"Alexa, Ask easy stretches what are some stretches for lifting weights",Stretcher
187,"Alexa, Ask easy stretches for some stretches before I go play basketball",Stretcher
188,"Alexa, Ask easy stretches for stretches before I swim",Stretcher
189,"Alexa, ask Zika Health to tell me a fact.",Zika Health Facts
190,"Alexa, ask Zika Health to tell me something.",Zika Health Facts
191,"Alexa, ask Zika Health for a fact.",Zika Health Facts
192,"Alexa, ask daily pledge what's my daily pledge?",Daily Pledge
193,"Alexa, ask daily pledge what's my pledge for today?",Daily Pledge
194,"Alexa, tell daily pledge to give me a pledge for today.",Daily Pledge
195,"Alexa, ask H2O-Pal how much did I drink today.",H2O-Pal
196,"Alexa, tell H2O-Pal I drank 8 ounces of water ten minutes ago.",H2O-Pal
197,"Alexa, ask H2O-Pal how close am I to reaching my daily goal.",H2O-Pal
198,"Alexa, ask wedding topics for a marriage topic",Before the Knot
199,"Alexa, ask wedding topics to suggest a topic",Before the Knot
200,"Alexa, ask wedding topics to ask us a question",Before the Knot
201,"Alexa, open Doctor Bones",DoctorBones
202,Help,DoctorBones
203,Repeat,DoctorBones
204,"Alexa, tell fit assist to give me some health advice",Fit Assist
205,"Alexa, tell fit assist to give me a fit fact",Fit Assist
206,"Alexa, ask fit assist to tell me a fitness fact",Fit Assist
207,"Alexa, ask Buddha Quotes to give me some calm",Buddha Quotes
208,Alexa ask Buddha quotes to tell me something.,Buddha Quotes
209,Alexa tell Buddha quotes to tell me a Buddha quote,Buddha Quotes
210,"Alexa, ask Girl Names to say a name",Girl Names
211,"Alexa, ask Girl Names for a name",Girl Names
212,"Alexa, ask Girl Names to provide a name",Girl Names
213,"Alexa, ask Workout Helper what workout is suitable when I am happy",WorkoutHelper
214,what should I do when I'm stressed,WorkoutHelper
215,tell me a recipe for anxiety,WorkoutHelper
216,Alexa launch Meditation Facts.,MeditationFacts
217,Alexa ask meditation facts to tell me a meditation trivia,MeditationFacts
218,Alexa ask meditation facts to help.,MeditationFacts
219,Alexa Ask Healthy Diet Trivia,Healthy Diet Trivia
220,"Alexa, Healthy Diet Trivia",Healthy Diet Trivia
221,Alexa Begin Healthy Diet Trivia,Healthy Diet Trivia
222,"Alexa, ask doctor remigio for common cold",Homeopathy
223,"Alexa, ask doctor remigio for stomach pain",Homeopathy
224,"Alexa, open bed time.",Bedtime
225,"Alexa, tell bed time I want to go to sleep at 8:00 pm.",Bedtime
226,"Alexa, tell bed time I need to wake up at 5:30 am.",Bedtime
227,Alexa open vitamin cards,Vitamin Cards
228,repeat,Vitamin Cards
229,restart,Vitamin Cards
230,"Alexa, open Body building Trivia",Bodybuilding Trivia
231,"Alexa, open Bodybuilding Trivia",Bodybuilding Trivia
232,"Alexa, start seven minute workout.",7-Minute Workout
233,Start workout,7-Minute Workout
234,Ready,7-Minute Workout
235,"Alexa, start Peaceful Habit",Peaceful Habit
236,"Alexa, ask Peaceful Habit for a 5 minute meditation",Peaceful Habit
237,"Alexa, ask Peaceful Habit for a 10 minute meditation",Peaceful Habit
238,"Alexa, Ask The Supplement Advisor what supplements are good for anxiety",TreycentSupplementAdvisor
239,what vitamins help with eczema,TreycentSupplementAdvisor
240,what supplement is good for joints,TreycentSupplementAdvisor
241,"Alexa, Open Healthy Food Facts",Healthy Food Facts
242,"Alexa, Launch Healthy Food Facts and tell me a fact",Healthy Food Facts
243,"Alexa, Start Healthy Food Facts and give me a fact",Healthy Food Facts
244,"Alexa, tell pregnancy countdown I am having a baby",Pregnancy Countdown
245,"Alexa, ask pregnancy countdown for the size of my baby",Pregnancy Countdown
246,"Alexa, ask pregnancy countdown how many weeks I have left",Pregnancy Countdown
247,"Alexa, ask awesome hair tips for a hair tip",awesome hair tips
248,"Alexa, ask awesome hair tips to give me a hair tip",awesome hair tips
249,"Alexa, ask awesome hair tips to tell me a hair tip",awesome hair tips
250,"Alexa, Ask Aromatherapy for a recipe for focus.",Aromatherapy
251,"Alexa, Ask Aromatherapy what is the recipe for a headache.",Aromatherapy
252,"Alexa, Ask Aromatherapy to give me a recipe for stress relief.",Aromatherapy
